,text,time,long,lat
76,Our #MatchaCoconutLatte + @baohausnyc's Fire Birdhaus Bao = Far East Plaza @Endorffeine https://www.instagram.com/p/BZQ9acoAB_u/,2017-09-01 10:00:00,34.2322,-118.3617
77,Song selection of the night goes to @mikey_danger for playing that latest fire from Over seas… https://www.instagram.com/p/BZQhUvcn7aZ/,2017-09-01 10:00:00,34.2322,-118.3617
78,"Took my baby girl out to the canyons to scope fire damage! @La Tuna Canyon, Los Angeles,… https://www.instagram.com/p/BZQefb8Hk-y/",2017-09-01 10:00:00,34.2322,-118.3617
79,It was a fire pit kinda night!! #familyvacation2017 #firepitnight… https://www.instagram.com/p/BZQL28xl5HityK84GJNZY0xuza2rZHOk2lD9400/ …,2017-09-01 10:00:00,34.2322,-118.3617
80,"When He Told Me Not To Play With Fire Or I Might Get Burned, I… https://www.instagram.com/p/BZP61Dcj4vPeKCNGTLwBBm9xQOgvn19BXUaCeg0/ …",2017-09-01 10:00:00,34.2322,-118.3617
81,New moon fire puja for peace @Shirdi Sai Temple https://www.instagram.com/p/BZPxoe9Fqhg/,2017-09-01 10:00:00,34.2322,-118.3617
82,Class was fire tonight with @joejoegrooves • • • #dance #dancer #dancing #hiphop… https://www.instagram.com/p/BZPxTb3Fhs3/,2017-09-01 10:00:00,34.2322,-118.3617
83,"Don't ever stop that fire keep it going @alejandrochal #achal @West Hollywood, California https://www.instagram.com/p/BZPpEkJFIME/",2017-09-01 10:00:00,34.2322,-118.3617
84,"""You should give a f*ck. You really should. But only about things that sets your soul on fire.… https://www.instagram.com/p/BZPJdHChxGu/",2017-09-01 10:00:00,34.2322,-118.3617
85,"The Music video for my new single ""Roses on Fire"" is available now on YouTube. Link in my bio!… https://www.instagram.com/p/BZPHxFTB_Lk/",2017-09-01 10:00:00,34.2322,-118.3617
86,#dtla #dankmemes #openmic #fire #thing @Chapman Lofts https://www.instagram.com/p/BZO94WEAoUS/,2017-09-01 10:00:00,34.2322,-118.3617
87,"""The final scape"" I'm just fascinated Old Building Fire Escape Ladders. #myvzion #myview… https://www.instagram.com/p/BZOxfwrAgka/",2017-09-01 10:00:00,34.2322,-118.3617
88,#GenesoulUnplugged Let us never forget the fire of Shakere from @odddoneout when came thru to… https://www.instagram.com/p/BZOxaz4lUyG/,2017-09-01 10:00:00,34.2322,-118.3617
89,Only you can prevent cake pop fires. @Starbucks https://www.instagram.com/p/BZOuHW1hv1J/,2017-09-01 10:00:00,34.2322,-118.3617
90,Fire Horse Magic @guinness by @lysacooper #bringyourvibe @City Of Compton https://www.instagram.com/p/BZOcr13BGgf/,2017-09-01 10:00:00,34.2322,-118.3617
91,"Dormitory (at @LAFD Fire Station 4 in Los Angeles, CA) https://www.swarmapp.com/c/1orVtwEEOdu",2017-09-01 10:00:00,34.2322,-118.3617
92,My #webelos #cubsouts did their first #fire at tonight's meeting. No one caught on fire.… https://www.instagram.com/p/BZNUGx9nZpG/,2017-09-01 10:00:00,34.2322,-118.3617
93,"Come check out a long time OG buddy of mine from the East coast, ""Fire Fingers"" aka Spinscott… https://www.instagram.com/p/BZNR_xbBP4D/",2017-09-01 10:00:00,34.2322,-118.3617
94,"Time to work even harder, gonna set the world on fire … https://www.instagram.com/p/BZNP988HFJI/",2017-09-01 10:00:00,34.2322,-118.3617
95,"Halt and Catch Fire! You'll be Missed! haltandcatchfireofficial @Marina del Rey, California https://www.instagram.com/p/BZNPEZkAVl9/",2017-09-01 10:00:00,34.2322,-118.3617
96,Virginia Country Club for the Long Beach Fire Association Fallen Firefighter Charity Tournament.… https://www.instagram.com/p/BZNIXOSAHac/,2017-09-01 10:00:00,34.2322,-118.3617
97,"@johncsimpson ""ADDICTIONS"" feature in @canhair Magazine. The story of what fuels the fire of us… https://www.instagram.com/p/BZND0FbFeqZ/",2017-09-01 10:00:00,34.2322,-118.3617
98,"@johncsimpson ""ADDICTIONS"" feature in @canhair Magazine. The story of what fuels the fire of us… https://www.instagram.com/p/BZNDrUQla8h/",2017-09-01 10:00:00,34.2322,-118.3617
99,Fall brings to my mind cozy nights by the fire and of course our pumpkin candle #fall #pumpkin… https://www.instagram.com/p/BZMyKd_h72f/,2017-09-01 10:00:00,34.2322,-118.3617
100,This Splatterday! We rock Echo Park at @LostKnightPub with @theabsurdband and triangle_fire_… https://www.instagram.com/p/BZMwoCwFpYJ/,2017-09-01 10:00:00,34.2322,-118.3617
101,"When you want to #surprise your friend for her #birthday so you yell ""FIRE! Jessica hurry and… https://www.instagram.com/p/BZMwBV-D7Qh/",2017-09-01 10:00:00,34.2322,-118.3617
102,@saintboz always lighting a fire full of inspiration! #ADCOLOR #Cometogether @adcolor @Loews… https://www.instagram.com/p/BZMrT7FAZWI/,2017-09-01 10:00:00,34.2322,-118.3617
103,"Get it sis!! Nothing will stop her!! She's on fire!! @teyanataylor @Los Angeles, California https://www.instagram.com/p/BZMlN_enZTo/",2017-09-01 10:00:00,34.2322,-118.3617
104,"Watch #BillieEilish Set #Fire to a #BadRelationship in #NewVideo for "" #watch"" -… https://www.instagram.com/p/BZMUjqRBUfb/",2017-09-01 10:00:00,34.2322,-118.3617
105,A huge thank you to our special guests @gabysings & The Fire along with @lanzobeats for repping… https://www.instagram.com/p/BZMUU7lhDlp/,2017-09-01 10:00:00,34.2322,-118.3617
106,Tonite @maryslongbeach we bring the fire with the #DivasofLongBeach with special performance of… https://www.instagram.com/p/BZMSW4jlTso/,2017-09-01 10:00:00,34.2322,-118.3617
107,Let me love you! Wednesday night it's on fire at @idahollywood join us at 8:00pm @EDDIEDANCE and… https://www.instagram.com/p/BZML4pUgB-4/,2017-09-01 10:00:00,34.2322,-118.3617
108,"I'm at Los Angeles Fire Department EPI-Center - @lafd in Los Angeles, CA https://www.swarmapp.com/c/bLfUrylUAoc",2017-09-01 10:00:00,34.2322,-118.3617
109,Hanging at the #foxfire @Fox Fire https://www.instagram.com/p/BZLK7JMnYrO/,2017-09-01 10:00:00,34.2322,-118.3617
110,"""After the flames went out"" #latunafire #latuna #fire #naturaldisaster #burbank #hills… https://www.instagram.com/p/BZK3LeZgUY4/",2017-09-01 10:00:00,34.2322,-118.3617
111,@lovingdessy looking Fireat the #HipHopHonors tonight!! @HypeWilliams #ChuckieLove @sirjohnint… https://www.instagram.com/p/BZKskxPBi0B/,2017-09-01 10:00:00,34.2322,-118.3617
112,We can live beside the ocean Leave the fire behind Swim out past the breakers Watch the world… https://www.instagram.com/p/BZKr4HWAT-p/,2017-09-01 10:00:00,34.2322,-118.3617
113,Try to love and survive any way that we can. As the fear and the fire makes us strong in… https://www.instagram.com/p/BYekptFBHam/,2017-09-01 10:00:00,34.2322,-118.3617
114,"Fire, Palm trees, Ocean, Sunset. Good to be back in SB @Fess Parker's Doubletree Resort https://www.instagram.com/p/BZKqbRonV4d/",2017-09-01 10:00:00,34.2322,-118.3617
115,"Fire truck blocking the right lane. in #Chino on 60 EB at Ramona Ave, stopped traffic back to Hwy 71, delay of 17 mins #LAtraffic",2017-09-01 10:00:00,34.2322,-118.3617
116,"Talent is a flame. Genius is a fire @Venice, California https://www.instagram.com/p/BZKdsgbh0XZ/",2017-09-01 10:00:00,34.2322,-118.3617
117,"#Repost @stevekelly02 ・・・ Church, we are partnering with Monroe County Fire Rescue to send a… https://www.instagram.com/p/BZKbujEFxdg/",2017-09-01 10:00:00,34.2322,-118.3617
118,Congratulations to Issy Roberts for winning the Kindle Fire in our contest. The #lbfolkrevival… https://www.instagram.com/p/BZKOmeQBwXS/,2017-09-01 10:00:00,34.2322,-118.3617
119,Sitting by the fire in this gorgeous home #lovemyjob @Hope Ranch https://www.instagram.com/p/BZKH85GHeXdnBut8rxQZZ8xdfZgQyPzzTpOZ2w0/ …,2017-09-01 10:00:00,34.2322,-118.3617
120,Fire Bolt @StubHub Center https://www.instagram.com/p/BZJ609flsQW/,2017-09-01 10:00:00,34.2322,-118.3617
121,"LA visit Sept 2017. Friends, Fires, and Food. Thanks LA fam @bipsierian @jameslagrappe… https://www.instagram.com/p/BZJwRbzHVFg/",2017-09-01 10:00:00,34.2322,-118.3617
122,Age Diamanté - Stiles . . . #hiphop #drums #hiphophead #dope #fire #synth #nativeinstruments… https://www.instagram.com/p/BZJt_8SlhR6/,2017-09-01 10:00:00,34.2322,-118.3617
123,rev michael is on fire today! i'm here...here r u??! #agapeisc #huglife @Agape International… https://www.instagram.com/p/BZJhoHRF1hE/,2017-09-01 10:00:00,34.2322,-118.3617
124,San Bernardino County Fire took Second for both categories! #mayorsstand4all #mayorwarren… https://www.instagram.com/p/BZJZ7rfhlFL/,2017-09-01 10:00:00,34.2322,-118.3617
125,"Dormitory (at @LAFD Fire Station 4 in Los Angeles, CA) https://www.swarmapp.com/c/cc8xFcZRRft",2017-09-01 10:00:00,34.2322,-118.3617
126,"#TalentWorks #buckhorn We celebrate with fire and ash. #Lift #WaveGod @Buckhorn, California https://www.instagram.com/p/BZIdodUnZ4f/",2017-09-01 10:00:00,34.2322,-118.3617
127,"Fire,Police and United Steelworkers thanks for cooking great food! #mayorsstand4all #mayorwarren… https://www.instagram.com/p/BZILxmAhmth/",2017-09-01 10:00:00,34.2322,-118.3617
128,This perfect face!! ShiahIsaac @Pit Fire Pizza Co https://www.instagram.com/p/BZIGKMBB-M7/,2017-09-01 10:00:00,34.2322,-118.3617
129,Come on baby light my fire!! @City of Redondo Beach Seaside Lagoon https://www.instagram.com/p/BZIDc5AAgut/,2017-09-01 10:00:00,34.2322,-118.3617
130,"Crash and car fire currently has all lanes blocked in #Torrance on I-405 SB at Western Ave, stopped traffic back to Redondo Beach Blvd",2017-09-01 10:00:00,34.2322,-118.3617
131,I survived because the fire inside me burned brighter than the fire around me . . #photography… https://www.instagram.com/p/BZH-8MiBmQ-/,2017-09-01 10:00:00,34.2322,-118.3617
132,oh you know we just helped our favorite little Trash Panda save bb Groot from a fire dragon… https://www.instagram.com/p/BZH4EEUAg0E/,2017-09-01 10:00:00,34.2322,-118.3617
133,Rewind to last month when I shot these FIRE photos for @beatsbydre at @thegaloremag's first… https://www.instagram.com/p/BZH0dJdgAYC/,2017-09-01 10:00:00,34.2322,-118.3617
134,"S/o @linwood_dnell this shit fire @Los Angeles, California https://www.instagram.com/p/BZH07iZBXPe/",2017-09-01 10:00:00,34.2322,-118.3617
135,Poke Life. #pokebowl #fire @Toyo Sushi https://www.instagram.com/p/BZHtu6hhd6sEoFvAaVjJ8SKrF8sU2RbCZxQDUc0/ …,2017-09-01 10:00:00,34.2322,-118.3617
136,"She's A Fire In The Night @Los Angeles, California https://www.instagram.com/p/BZHqUzKhp-x/",2017-09-01 10:00:00,34.2322,-118.3617
137,we don't call 911... we just shoot the fire until it goes out. @Big Bear Lake Village https://www.instagram.com/p/BZHciUXFIdQ/,2017-09-01 10:00:00,34.2322,-118.3617
138,Fire flower for real @Los Angeles County Arboretum & Botanic Garden https://www.instagram.com/p/BZHV0OIgArp/,2017-09-01 10:00:00,34.2322,-118.3617
139,Who cares about soccer....fire trucks! #oldtownpasadena #packie #pádraic… https://www.instagram.com/p/BZHIA8Ulkhz/,2017-09-01 10:00:00,34.2322,-118.3617
140,18 Camry XSE in Windchill Pearl with Cockpit Red Interior... #fire @Toyota of Riverside https://www.instagram.com/p/BZHHY7altd3/,2017-09-01 10:00:00,34.2322,-118.3617
141,"I'm at Los Angeles Fire Department EPI-Center - @lafd in Los Angeles, CA https://www.swarmapp.com/c/0dX5nHQVkzT",2017-09-01 10:00:00,34.2322,-118.3617
142,FIRE! #fordracing #fordmustang #losangeles #restoration #classicmustang #americanmuscle… https://www.instagram.com/p/BZF7TtqHuyb/,2017-09-01 10:00:00,34.2322,-118.3617
143,#sza #fire #prettylittlebird #fridaynight #checkedoutofthegym #blackgirlmagic @Checked Out Of… https://www.instagram.com/p/BZFuXBRhzha/,2017-09-01 10:00:00,34.2322,-118.3617
144,Fire dancers at the fair too! pic.twitter.com/cQim7RfkF0 – at Pomona Valley Hospital Medical Center,2017-09-01 10:00:00,34.2322,-118.3617
145,The first fire!!! Yeah!!! #blacklistmoto #vvmc #aaaahhhvenice @Clutch Venice https://www.instagram.com/p/BZFliDbBc9F/,2017-09-01 10:00:00,34.2322,-118.3617
146,"Los Angeles County Fire Department Camp 14-1, 16-2, 11-3, and Engine 124.… https://www.instagram.com/p/BZFc3csgdvI/",2017-09-01 10:00:00,34.2322,-118.3617
147,"""Then he ran. He never looked back at the fire. He just ran. He ran until the sun came up and he… https://www.instagram.com/p/BZFcihSgEvL/",2017-09-01 10:00:00,34.2322,-118.3617
148,From death comes a new dawn :) beauty despite the destruction from the forest fires. His Rain… https://www.instagram.com/p/BZFa97aH2qO/,2017-09-01 10:00:00,34.2322,-118.3617
149,Come on baby light my fire • • Dark Phoenix - Marvel X-Xmen • • Cosplayer whoanerdalert… https://www.instagram.com/p/BZFXhSWFvBu/,2017-09-01 10:00:00,34.2322,-118.3617
150,Brush fire has the connector to the 105 east shutdown in #SouthLa on 110 NB at I-105 #LAtraffic http://bit.ly/10F395r,2017-09-01 10:00:00,34.2322,-118.3617
151,"Brush fire has all lanes blocked in #SouthLa on 105 EB between Vermont Ave and I-110, stopped traffic back to I-405 #LAtraffic",2017-09-01 10:00:00,34.2322,-118.3617
152,More Holy Fire. . . . #scanography #scan #graphicdesign #design #graphic #designinspiration… https://www.instagram.com/p/BZE6-i4hRoX/,2017-09-01 10:00:00,34.2322,-118.3617
153,"When the #HitAndRun suspect plows down the fire hydrant, then is located a few blocks away.… https://www.instagram.com/p/BZEzPFJHEuV/",2017-09-01 10:00:00,34.2322,-118.3617
154,Holy fire. . . . #scanography #scan #graphicdesign #design #graphic #designinspiration #type… https://www.instagram.com/p/BZEx15ehxrn/,2017-09-01 10:00:00,34.2322,-118.3617
155,Seek what sets your soul on fire... | htt://shopstyle.it/l/hDSW #shopstyleit… https://www.instagram.com/p/BZEu-9eFUjc/,2017-09-01 10:00:00,34.2322,-118.3617
156,"Fluid resistant, fire retardant backed vinyl mattress. Two sided design. @Paramount Mattress, Inc. https://www.instagram.com/p/BZElTJeg1ZY/",2017-09-01 10:00:00,34.2322,-118.3617
